order,id
1,TECH_FISHING
2,TECH_THE_WHEEL
3,TECH_AGRICULTURE
4,TECH_HUNTING
5,TECH_MYSTICISM
6,TECH_MINING
7,TECH_SAILING
8,TECH_POTTERY
9,TECH_ANIMAL_HUSBANDRY
10,TECH_ARCHERY
11,TECH_MEDITATION
12,TECH_POLYTHEISM
13,TECH_MASONRY
14,TECH_HORSEBACK_RIDING
15,TECH_PRIESTHOOD
16,TECH_MONOTHEISM
17,TECH_BRONZE_WORKING
18,TECH_WRITING
19,TECH_METAL_CASTING
20,TECH_IRON_WORKING
21,TECH_AESTHETICS
22,TECH_MATHEMATICS
23,TECH_ALPHABET
24,TECH_MONARCHY
25,TECH_COMPASS
26,TECH_LITERATURE
27,TECH_CALENDAR
28,TECH_CONSTRUCTION
29,TECH_CURRENCY
30,TECH_MACHINERY
31,TECH_DRAMA
32,TECH_ENGINEERING
33,TECH_CODE_OF_LAWS
34,TECH_FEUDALISM
35,TECH_OPTICS
36,TECH_MUSIC
37,TECH_PHILOSOPHY
38,TECH_CIVIL_SERVICE
39,TECH_THEOLOGY
40,TECH_DIVINE_RIGHT
41,TECH_PAPER
42,TECH_GUILDS
43,TECH_NATIONALISM
44,TECH_PRINTING_PRESS
45,TECH_EDUCATION
46,TECH_BANKING
47,TECH_CONSTITUTION
48,TECH_MILITARY_TRADITION
49,TECH_REPLACEABLE_PARTS
50,TECH_LIBERALISM
51,TECH_ECONOMICS
52,TECH_GUNPOWDER
53,TECH_DEMOCRACY
54,TECH_RIFLING
55,TECH_ASTRONOMY
56,TECH_CORPORATION
57,TECH_CHEMISTRY
58,TECH_STEAM_POWER
59,TECH_SCIENTIFIC_METHOD
60,TECH_MILITARY_SCIENCE
61,TECH_STEEL
62,TECH_ASSEMBLY_LINE
63,TECH_UTOPIA
64,TECH_PHYSICS
65,TECH_BIOLOGY
66,TECH_RAILROAD
67,TECH_FLIGHT
68,TECH_ARTILLERY
69,TECH_FASCISM
70,TECH_ELECTRICITY
71,TECH_MEDICINE
72,TECH_COMBUSTION
73,TECH_ROCKETRY
74,TECH_INDUSTRIALISM
75,TECH_FISSION
76,TECH_RADIO
77,TECH_REFRIGERATION
78,TECH_SATELLITES
79,TECH_PLASTICS
80,TECH_MASS_MEDIA
81,TECH_COMPUTERS
82,TECH_ADVANCED_FLIGHT
83,TECH_LASER
84,TECH_COMPOSITES
85,TECH_ECOLOGY
86,TECH_SUPERCONDUCTORS
87,TECH_STEALTH
88,TECH_FIBER_OPTICS
89,TECH_ROBOTICS
90,TECH_GENETICS
91,TECH_FUSION
92,TECH_FUTURE_TECH
